# 标准病库格式
# 格式：疾病名|关键词1,关键词2,关键词3|优先级
# 关键词用逗号分隔，优先级1-100

# 呼吸系统
社区获得性肺炎|发热,咳嗽,咳痰,黄痰,胸痛,肺部啰音,肺炎,肺部阴影,胸闷|80
支气管哮喘|喘息,气促,胸闷,咳嗽,夜间加重,哮鸣音,过敏史,哮喘|85
咳嗽变异性哮喘|慢性咳嗽,夜间咳嗽,刺激性干咳,过敏,冷空气诱发,哮喘,气道高反应|82
慢性阻塞性肺疾病|长期吸烟,活动后气短,慢性咳嗽,咳痰,桶状胸,肺气肿,慢阻肺,COPD|75
阻塞性睡眠呼吸暂停|打鼾,夜间憋醒,白天嗜睡,肥胖,呼吸暂停,睡眠监测,缺氧|70
流行性感冒|高热,全身肌肉酸痛,咽痛,咳嗽,传染性强|70
急性支气管炎|咳嗽,咳痰,常继发于上呼吸道感染|65
肺结核|咳嗽,咳痰超过2周,咯血,午后低热,盗汗,消瘦|80
支气管扩张|慢性咳嗽,大量脓痰,反复咯血|75
气胸|突发胸痛,呼吸困难,患侧呼吸音减弱或消失|90
肺栓塞|突发呼吸困难,胸痛,咯血,晕厥,D-二聚体显著升高|95
肺癌|刺激性干咳,痰中带血,胸痛,消瘦,肺占位|85
胸腔积液|呼吸困难,胸痛,叩诊浊音,呼吸音减弱|75
过敏性鼻炎|阵发性喷嚏,清水样涕,鼻塞,鼻痒,眼痒|55
慢性鼻窦炎|鼻塞,黏脓涕,头面部胀痛,嗅觉减退|60

# 心血管系统
急性冠脉综合征|胸痛,胸闷,压榨感,放射痛,左肩,后背痛,出汗,心电图异常,心肌酶升高,心肌梗死,不稳定心绞痛|95
高血压|血压升高,头晕,头痛,高血压危象,收缩压,舒张压,靶器官损害|60
心房颤动|心悸,心慌,脉搏短绌,头晕,脑栓塞风险|80
室性早搏|心悸,心脏漏跳感,撞击感|65
扩张型心肌病|心力衰竭表现,呼吸困难,水肿,心脏扩大|80
二尖瓣狭窄|呼吸困难,咯血,心尖部舒张期隆隆样杂音|80
感染性心内膜炎|发热,心脏杂音,皮肤瘀点,栓塞表现,血培养阳性|90
急性心包炎|胸痛随呼吸或体位变化,心包摩擦音|80
下肢深静脉血栓形成|单侧下肢肿胀,疼痛,皮温升高,浅静脉扩张|85
下肢动脉硬化闭塞症|间歇性跛行,肢端发凉,静息痛,动脉搏动减弱|75
主动脉夹层|突发撕裂样剧烈胸背痛,双上肢血压不对称|95
阵发性室上性心动过速|突发突止心悸,心率160-250次/分,规整|85
心房扑动|心悸,心慌,心电图锯齿状扑动波|80
三度房室传导阻滞|显著心动过缓,晕厥,阿-斯综合征|90
病毒性心肌炎|上感后胸痛,心悸,心衰症状,心肌酶升高|80
心包积液|呼吸困难,颈静脉怒张,奇脉,心音遥远|85
预激综合征|心电图δ波,阵发性室上速|70
长QT综合征|心电图QT间期延长,尖端扭转型室速,晕厥,猝死|85
心脏瓣膜病|呼吸困难,心绞痛,晕厥,收缩期喷射样杂音|85
急性下肢动脉栓塞|5P征,无脉,苍白,疼痛,感觉异常,麻痹|95

# 神经系统
